Email,Group_id,Collaborators,Success_rate,Rank_simple,Rank_cluster,Rank_low_rank,Diff_hamming,Diff_L1
csntbduqtd,8,"[0, 1]",0.5,2.7,12.8,21.5,,
rvkkwbtzer,8,"[0, 1]",1.0,4.8,13.0,22.4,,
mnjftlglyt,14,"[23, 2]",1.0,4.4,10.4,21.2,,
icajjdmwlv,10,"[3, 4, 5]",0.1,14.3,18.3,13.1,,
cjrzpptolx,10,"[3, 4, 5]",1.0,2.7,11.0,23.6,,
vqnicjcdyl,10,"[3, 4, 5]",0.2,5.0,11.5,24.9,,
xkoidzldie,1,[6],1.0,12.5,20.8,14.4,,
hsmqgyjeqq,15,[7],1.0,11.2,14.0,18.1,,
mkgrimervy,13,"[13, 8]",1.0,3.8,10.8,11.6,,
lcclbawybw,19,"[10, 11, 9]",1.0,1.0,11.1,7.9,,
hzxuweegdt,19,"[10, 11, 9]",1.0,15.1,18.1,22.3,,
aaxgxbxidx,19,"[10, 11, 9]",1.0,15.3,13.9,4.1,,
wpklglvwdi,3,"[30, 12]",1.0,0.0,9.1,21.5,,
gfudonpdlt,13,"[13, 8]",0.9,0.0,15.0,21.9,,
stsdorwpcq,12,"[27, 14]",1.0,12.7,13.9,2.3,,
dzrgtcpoab,18,"[24, 15]",0.1,23.5,20.4,25.8,,
asafvxevcd,0,[16],1.0,15.5,22.5,6.4,,
beaqmlcczm,5,[17],1.0,4.3,4.6,14.2,,
uqhkynmsse,2,[18],1.0,4.3,11.9,2.4,,
edecenoxeh,20,"[28, 19, 29, 26]",1.0,16.2,11.1,7.0,,
vcwcagrgwo,7,[20],1.0,24.4,18.0,24.1,,
motuzrmtrr,16,[21],1.0,0.0,16.5,23.9,,
zduiamsoia,4,"[25, 22]",1.0,0.0,12.3,24.0,,
mjugorrsep,14,"[23, 2]",1.0,3.4,12.6,16.2,,
nellpalzkn,18,"[24, 15]",1.0,13.2,21.2,1.9,,
mjilubyayb,4,"[25, 22]",0.2,1.0,17.2,22.9,,
rfblyhrkyi,20,"[28, 19, 29, 26]",1.0,0.7,9.8,19.0,,
kmxgrmksxm,12,"[27, 14]",0.1,15.4,21.2,4.2,,
ykgfttvrmp,20,"[28, 19, 29, 26]",1.0,0.3,6.1,18.3,,
pyhgmzzgnc,20,"[28, 19, 29, 26]",0.9,6.9,11.8,12.5,,
nrwxkyzklu,3,"[30, 12]",0.0,21.0,13.8,0.0,,
